result	chain	group	code_path	run	handshake_ms
PASS	slhdsa_shake_256s	mlkem512	c	1	2826
PASS	slhdsa_shake_256s	mlkem512	c	2	2797
PASS	slhdsa_shake_256s	mlkem512	c	3	2804
PASS	slhdsa_shake_256s	mlkem512	c	4	2801
PASS	slhdsa_shake_256s	mlkem512	c	5	2833
PASS	slhdsa_shake_256s	mlkem512	c	6	2825
PASS	slhdsa_shake_256s	mlkem512	c	7	2818
PASS	slhdsa_shake_256s	mlkem512	c	8	2830
PASS	slhdsa_shake_256s	mlkem512	c	9	2809
PASS	slhdsa_shake_256s	mlkem512	c	10	2811
PASS	slhdsa_shake_256s	mlkem512	c	11	2813
PASS	slhdsa_shake_256s	mlkem512	c	12	2841
PASS	slhdsa_shake_256s	mlkem512	c	13	2821
PASS	slhdsa_shake_256s	mlkem512	c	14	2844
PASS	slhdsa_shake_256s	mlkem512	c	15	2828
PASS	slhdsa_shake_256s	mlkem512	c	16	2813
PASS	slhdsa_shake_256s	mlkem512	c	17	2809
PASS	slhdsa_shake_256s	mlkem512	c	18	2815
PASS	slhdsa_shake_256s	mlkem512	c	19	2837
PASS	slhdsa_shake_256s	mlkem512	c	20	2814
PASS	slhdsa_shake_256s	mlkem512	c	21	2811
PASS	slhdsa_shake_256s	mlkem512	c	22	2832
PASS	slhdsa_shake_256s	mlkem512	c	23	2829
PASS	slhdsa_shake_256s	mlkem512	c	24	2803
PASS	slhdsa_shake_256s	mlkem512	c	25	2811
PASS	slhdsa_shake_256s	mlkem512	c	26	2805
PASS	slhdsa_shake_256s	mlkem512	c	27	2838
PASS	slhdsa_shake_256s	mlkem512	c	28	2804
PASS	slhdsa_shake_256s	mlkem512	c	29	2830
PASS	slhdsa_shake_256s	mlkem512	c	30	2847
PASS	slhdsa_shake_256s	mlkem512	c	31	2827
PASS	slhdsa_shake_256s	mlkem512	c	32	2820
PASS	slhdsa_shake_256s	mlkem512	c	33	2835
PASS	slhdsa_shake_256s	mlkem512	c	34	2840
PASS	slhdsa_shake_256s	mlkem512	c	35	2841
PASS	slhdsa_shake_256s	mlkem512	c	36	2818
PASS	slhdsa_shake_256s	mlkem512	c	37	2811
PASS	slhdsa_shake_256s	mlkem512	c	38	2798
PASS	slhdsa_shake_256s	mlkem512	c	39	2835
PASS	slhdsa_shake_256s	mlkem512	c	40	2840
PASS	slhdsa_shake_256s	mlkem512	c	41	2810
PASS	slhdsa_shake_256s	mlkem512	c	42	2798
PASS	slhdsa_shake_256s	mlkem512	c	43	2825
PASS	slhdsa_shake_256s	mlkem512	c	44	2827
PASS	slhdsa_shake_256s	mlkem512	c	45	2794
PASS	slhdsa_shake_256s	mlkem512	c	46	2839
PASS	slhdsa_shake_256s	mlkem512	c	47	2818
PASS	slhdsa_shake_256s	mlkem512	c	48	2835
PASS	slhdsa_shake_256s	mlkem512	c	49	3127
PASS	slhdsa_shake_256s	mlkem512	c	50	2807
PASS	slhdsa_shake_256s	mlkem512	c	51	2823
PASS	slhdsa_shake_256s	mlkem512	c	52	2824
PASS	slhdsa_shake_256s	mlkem512	c	53	2807
PASS	slhdsa_shake_256s	mlkem512	c	54	2795
PASS	slhdsa_shake_256s	mlkem512	c	55	2819
PASS	slhdsa_shake_256s	mlkem512	c	56	2830
PASS	slhdsa_shake_256s	mlkem512	c	57	2801
PASS	slhdsa_shake_256s	mlkem512	c	58	2844
PASS	slhdsa_shake_256s	mlkem512	c	59	2820
PASS	slhdsa_shake_256s	mlkem512	c	60	2816
PASS	slhdsa_shake_256s	mlkem512	c	61	2829
PASS	slhdsa_shake_256s	mlkem512	c	62	2821
PASS	slhdsa_shake_256s	mlkem512	c	63	2784
PASS	slhdsa_shake_256s	mlkem512	c	64	2819
PASS	slhdsa_shake_256s	mlkem512	c	65	2843
PASS	slhdsa_shake_256s	mlkem512	c	66	2807
PASS	slhdsa_shake_256s	mlkem512	c	67	2827
PASS	slhdsa_shake_256s	mlkem512	c	68	2845
PASS	slhdsa_shake_256s	mlkem512	c	69	2808
PASS	slhdsa_shake_256s	mlkem512	c	70	2810
PASS	slhdsa_shake_256s	mlkem512	c	71	2827
PASS	slhdsa_shake_256s	mlkem512	c	72	2786
PASS	slhdsa_shake_256s	mlkem512	c	73	2835
PASS	slhdsa_shake_256s	mlkem512	c	74	2798
PASS	slhdsa_shake_256s	mlkem512	c	75	2819
PASS	slhdsa_shake_256s	mlkem512	c	76	2817
PASS	slhdsa_shake_256s	mlkem512	c	77	2833
PASS	slhdsa_shake_256s	mlkem512	c	78	2841
PASS	slhdsa_shake_256s	mlkem512	c	79	2819
PASS	slhdsa_shake_256s	mlkem512	c	80	2795
PASS	slhdsa_shake_256s	mlkem512	c	81	2820
PASS	slhdsa_shake_256s	mlkem512	c	82	2848
PASS	slhdsa_shake_256s	mlkem512	c	83	2811
PASS	slhdsa_shake_256s	mlkem512	c	84	2794
PASS	slhdsa_shake_256s	mlkem512	c	85	2808
PASS	slhdsa_shake_256s	mlkem512	c	86	2827
PASS	slhdsa_shake_256s	mlkem512	c	87	2805
PASS	slhdsa_shake_256s	mlkem512	c	88	2834
PASS	slhdsa_shake_256s	mlkem512	c	89	2808
PASS	slhdsa_shake_256s	mlkem512	c	90	2863
PASS	slhdsa_shake_256s	mlkem512	c	91	2834
PASS	slhdsa_shake_256s	mlkem512	c	92	2828
PASS	slhdsa_shake_256s	mlkem512	c	93	2845
PASS	slhdsa_shake_256s	mlkem512	c	94	2870
PASS	slhdsa_shake_256s	mlkem512	c	95	2812
PASS	slhdsa_shake_256s	mlkem512	c	96	2811
PASS	slhdsa_shake_256s	mlkem512	c	97	2821
PASS	slhdsa_shake_256s	mlkem512	c	98	2786
PASS	slhdsa_shake_256s	mlkem512	c	99	2825
PASS	slhdsa_shake_256s	mlkem512	c	100	2837
PASS	slhdsa_shake_256s	mlkem768	c	1	2820
PASS	slhdsa_shake_256s	mlkem768	c	2	2803
PASS	slhdsa_shake_256s	mlkem768	c	3	2819
PASS	slhdsa_shake_256s	mlkem768	c	4	2822
PASS	slhdsa_shake_256s	mlkem768	c	5	2838
PASS	slhdsa_shake_256s	mlkem768	c	6	2802
PASS	slhdsa_shake_256s	mlkem768	c	7	2809
PASS	slhdsa_shake_256s	mlkem768	c	8	2842
PASS	slhdsa_shake_256s	mlkem768	c	9	2802
PASS	slhdsa_shake_256s	mlkem768	c	10	2821
PASS	slhdsa_shake_256s	mlkem768	c	11	2801
PASS	slhdsa_shake_256s	mlkem768	c	12	2828
PASS	slhdsa_shake_256s	mlkem768	c	13	2848
PASS	slhdsa_shake_256s	mlkem768	c	14	2849
PASS	slhdsa_shake_256s	mlkem768	c	15	2817
PASS	slhdsa_shake_256s	mlkem768	c	16	2826
PASS	slhdsa_shake_256s	mlkem768	c	17	2834
PASS	slhdsa_shake_256s	mlkem768	c	18	2836
PASS	slhdsa_shake_256s	mlkem768	c	19	2812
PASS	slhdsa_shake_256s	mlkem768	c	20	2825
PASS	slhdsa_shake_256s	mlkem768	c	21	2821
PASS	slhdsa_shake_256s	mlkem768	c	22	2829
PASS	slhdsa_shake_256s	mlkem768	c	23	2813
PASS	slhdsa_shake_256s	mlkem768	c	24	2838
PASS	slhdsa_shake_256s	mlkem768	c	25	2819
PASS	slhdsa_shake_256s	mlkem768	c	26	2832
PASS	slhdsa_shake_256s	mlkem768	c	27	2824
PASS	slhdsa_shake_256s	mlkem768	c	28	2821
PASS	slhdsa_shake_256s	mlkem768	c	29	2832
PASS	slhdsa_shake_256s	mlkem768	c	30	2824
PASS	slhdsa_shake_256s	mlkem768	c	31	2825
PASS	slhdsa_shake_256s	mlkem768	c	32	2810
PASS	slhdsa_shake_256s	mlkem768	c	33	2822
PASS	slhdsa_shake_256s	mlkem768	c	34	2815
PASS	slhdsa_shake_256s	mlkem768	c	35	2823
PASS	slhdsa_shake_256s	mlkem768	c	36	2831
PASS	slhdsa_shake_256s	mlkem768	c	37	2829
PASS	slhdsa_shake_256s	mlkem768	c	38	2832
PASS	slhdsa_shake_256s	mlkem768	c	39	2803
PASS	slhdsa_shake_256s	mlkem768	c	40	2815
PASS	slhdsa_shake_256s	mlkem768	c	41	2785
PASS	slhdsa_shake_256s	mlkem768	c	42	2834
PASS	slhdsa_shake_256s	mlkem768	c	43	2829
PASS	slhdsa_shake_256s	mlkem768	c	44	2822
PASS	slhdsa_shake_256s	mlkem768	c	45	2815
PASS	slhdsa_shake_256s	mlkem768	c	46	2825
PASS	slhdsa_shake_256s	mlkem768	c	47	2784
PASS	slhdsa_shake_256s	mlkem768	c	48	2793
PASS	slhdsa_shake_256s	mlkem768	c	49	2831
PASS	slhdsa_shake_256s	mlkem768	c	50	2828
PASS	slhdsa_shake_256s	mlkem768	c	51	2841
PASS	slhdsa_shake_256s	mlkem768	c	52	2794
PASS	slhdsa_shake_256s	mlkem768	c	53	2866
PASS	slhdsa_shake_256s	mlkem768	c	54	2845
PASS	slhdsa_shake_256s	mlkem768	c	55	2813
PASS	slhdsa_shake_256s	mlkem768	c	56	2794
PASS	slhdsa_shake_256s	mlkem768	c	57	2837
PASS	slhdsa_shake_256s	mlkem768	c	58	2834
PASS	slhdsa_shake_256s	mlkem768	c	59	2811
PASS	slhdsa_shake_256s	mlkem768	c	60	2853
PASS	slhdsa_shake_256s	mlkem768	c	61	2834
PASS	slhdsa_shake_256s	mlkem768	c	62	2816
PASS	slhdsa_shake_256s	mlkem768	c	63	2849
PASS	slhdsa_shake_256s	mlkem768	c	64	2822
PASS	slhdsa_shake_256s	mlkem768	c	65	2819
PASS	slhdsa_shake_256s	mlkem768	c	66	2825
PASS	slhdsa_shake_256s	mlkem768	c	67	2818
PASS	slhdsa_shake_256s	mlkem768	c	68	2828
PASS	slhdsa_shake_256s	mlkem768	c	69	2803
PASS	slhdsa_shake_256s	mlkem768	c	70	2816
PASS	slhdsa_shake_256s	mlkem768	c	71	2877
PASS	slhdsa_shake_256s	mlkem768	c	72	2843
PASS	slhdsa_shake_256s	mlkem768	c	73	2823
PASS	slhdsa_shake_256s	mlkem768	c	74	2823
PASS	slhdsa_shake_256s	mlkem768	c	75	2851
PASS	slhdsa_shake_256s	mlkem768	c	76	2836
PASS	slhdsa_shake_256s	mlkem768	c	77	2806
PASS	slhdsa_shake_256s	mlkem768	c	78	2828
PASS	slhdsa_shake_256s	mlkem768	c	79	2803
PASS	slhdsa_shake_256s	mlkem768	c	80	2833
PASS	slhdsa_shake_256s	mlkem768	c	81	2809
PASS	slhdsa_shake_256s	mlkem768	c	82	2814
PASS	slhdsa_shake_256s	mlkem768	c	83	2815
PASS	slhdsa_shake_256s	mlkem768	c	84	2839
PASS	slhdsa_shake_256s	mlkem768	c	85	2799
PASS	slhdsa_shake_256s	mlkem768	c	86	2808
PASS	slhdsa_shake_256s	mlkem768	c	87	2807
PASS	slhdsa_shake_256s	mlkem768	c	88	2809
PASS	slhdsa_shake_256s	mlkem768	c	89	2827
