group	repeat	passes	fails	average_ms	median_ms	stddev_ms	min_ms	max_ms
mlkem512	100	100	0	1982.9	1982.5	12.1	1956	2014
mlkem768	100	100	0	1981.8	1980.0	15.3	1957	2053
mlkem1024	100	100	0	1981.2	1979.0	12.3	1956	2030
ntruplus768	100	100	0	1984.3	1982.5	13.1	1954	2013
ntruplus864	100	100	0	1986.1	1984.5	13.1	1960	2027
ntruplus1152	100	100	0	1984.7	1983.5	12.7	1958	2020
