group	repeat	passes	fails	average_ms	median_ms	stddev_ms	min_ms	max_ms
mlkem512	100	100	0	1199.3	1199.0	15.3	1170	1230
mlkem768	100	100	0	1201.4	1200.5	24.6	1167	1389
mlkem1024	100	100	0	1200.5	1201.0	16.3	1168	1239
ntruplus768	100	100	0	1199.7	1200.0	16.1	1169	1235
ntruplus864	100	100	0	1215.2	1198.0	160.4	1166	2795
ntruplus1152	100	100	0	1202.6	1200.0	16.6	1166	1243
