group	repeat	passes	fails	average_ms	median_ms	stddev_ms	min_ms	max_ms
mlkem512	100	100	0	2754.3	2754.0	13.1	2730	2793
mlkem768	100	100	0	2754.2	2752.5	13.0	2730	2798
mlkem1024	100	100	0	2758.2	2757.5	14.0	2733	2801
ntruplus768	100	100	0	2756.2	2755.5	14.1	2727	2795
ntruplus864	100	100	0	2757.2	2759.0	12.4	2727	2799
ntruplus1152	100	100	0	2756.8	2755.0	16.3	2727	2839
