group	repeat	passes	fails	average_ms	median_ms	stddev_ms	min_ms	max_ms
mlkem512	100	100	0	1203.0	1203.0	22.8	1167	1322
mlkem768	100	100	0	1205.2	1200.5	43.3	1171	1606
mlkem1024	100	100	0	1212.0	1207.5	60.0	1168	1778
ntruplus768	100	100	0	1198.7	1197.5	17.2	1169	1233
ntruplus864	100	100	0	1205.1	1203.0	24.3	1169	1391
ntruplus1152	100	100	0	1206.2	1206.0	19.1	1171	1306
