chain	group	code_path	repeat	passes	fails	avg_ms	median_ms	min_ms	max_ms
slhdsa_shake_256f	mlkem512	c	100	100	0	1808.7	1807.0	1756	1914
slhdsa_shake_256f	mlkem768	c	100	100	0	1808.5	1809.0	1760	1853
slhdsa_shake_256f	mlkem1024	c	100	100	0	1813.7	1809.5	1757	2132
slhdsa_shake_256f	ntruplus768	c	100	100	0	1873.4	1816.0	1758	6074
slhdsa_shake_256f	ntruplus864	c	100	100	0	1807.3	1808.0	1759	1858
slhdsa_shake_256f	ntruplus1152	c	100	100	0	1810.1	1810.0	1758	1904
