result	chain	group	code_path	run	handshake_ms
PASS	mldsa44	mlkem512	c	1	904
PASS	mldsa44	mlkem512	c	2	884
PASS	mldsa44	mlkem512	c	3	892
PASS	mldsa44	mlkem512	c	4	909
PASS	mldsa44	mlkem512	c	5	895
PASS	mldsa44	mlkem512	c	6	903
PASS	mldsa44	mlkem512	c	7	895
PASS	mldsa44	mlkem512	c	8	907
PASS	mldsa44	mlkem512	c	9	892
PASS	mldsa44	mlkem512	c	10	904
PASS	mldsa44	mlkem512	c	11	905
PASS	mldsa44	mlkem512	c	12	912
PASS	mldsa44	mlkem512	c	13	890
PASS	mldsa44	mlkem512	c	14	922
PASS	mldsa44	mlkem512	c	15	900
PASS	mldsa44	mlkem512	c	16	913
PASS	mldsa44	mlkem512	c	17	900
PASS	mldsa44	mlkem512	c	18	906
PASS	mldsa44	mlkem512	c	19	911
PASS	mldsa44	mlkem512	c	20	883
PASS	mldsa44	mlkem512	c	21	893
PASS	mldsa44	mlkem512	c	22	893
PASS	mldsa44	mlkem512	c	23	887
PASS	mldsa44	mlkem512	c	24	896
PASS	mldsa44	mlkem512	c	25	910
PASS	mldsa44	mlkem512	c	26	918
PASS	mldsa44	mlkem512	c	27	929
PASS	mldsa44	mlkem512	c	28	914
PASS	mldsa44	mlkem512	c	29	925
PASS	mldsa44	mlkem512	c	30	902
PASS	mldsa44	mlkem512	c	31	895
PASS	mldsa44	mlkem512	c	32	912
PASS	mldsa44	mlkem512	c	33	925
PASS	mldsa44	mlkem512	c	34	889
PASS	mldsa44	mlkem512	c	35	898
PASS	mldsa44	mlkem512	c	36	910
PASS	mldsa44	mlkem512	c	37	902
PASS	mldsa44	mlkem512	c	38	919
PASS	mldsa44	mlkem512	c	39	905
PASS	mldsa44	mlkem512	c	40	889
PASS	mldsa44	mlkem512	c	41	881
PASS	mldsa44	mlkem512	c	42	905
PASS	mldsa44	mlkem512	c	43	890
PASS	mldsa44	mlkem512	c	44	902
PASS	mldsa44	mlkem512	c	45	893
PASS	mldsa44	mlkem512	c	46	889
PASS	mldsa44	mlkem512	c	47	902
PASS	mldsa44	mlkem512	c	48	919
PASS	mldsa44	mlkem512	c	49	912
PASS	mldsa44	mlkem512	c	50	902
PASS	mldsa44	mlkem512	c	51	919
PASS	mldsa44	mlkem512	c	52	905
PASS	mldsa44	mlkem512	c	53	901
PASS	mldsa44	mlkem512	c	54	907
PASS	mldsa44	mlkem512	c	55	904
PASS	mldsa44	mlkem512	c	56	890
PASS	mldsa44	mlkem512	c	57	896
PASS	mldsa44	mlkem512	c	58	905
PASS	mldsa44	mlkem512	c	59	907
PASS	mldsa44	mlkem512	c	60	898
PASS	mldsa44	mlkem512	c	61	903
PASS	mldsa44	mlkem512	c	62	904
PASS	mldsa44	mlkem512	c	63	897
PASS	mldsa44	mlkem512	c	64	900
PASS	mldsa44	mlkem512	c	65	881
PASS	mldsa44	mlkem512	c	66	916
PASS	mldsa44	mlkem512	c	67	895
PASS	mldsa44	mlkem512	c	68	903
PASS	mldsa44	mlkem512	c	69	914
PASS	mldsa44	mlkem512	c	70	913
PASS	mldsa44	mlkem512	c	71	918
PASS	mldsa44	mlkem512	c	72	884
PASS	mldsa44	mlkem512	c	73	903
PASS	mldsa44	mlkem512	c	74	898
PASS	mldsa44	mlkem512	c	75	922
PASS	mldsa44	mlkem512	c	76	884
PASS	mldsa44	mlkem512	c	77	899
PASS	mldsa44	mlkem512	c	78	902
PASS	mldsa44	mlkem512	c	79	914
PASS	mldsa44	mlkem512	c	80	919
PASS	mldsa44	mlkem512	c	81	901
PASS	mldsa44	mlkem512	c	82	902
PASS	mldsa44	mlkem512	c	83	901
PASS	mldsa44	mlkem512	c	84	894
PASS	mldsa44	mlkem512	c	85	903
PASS	mldsa44	mlkem512	c	86	887
PASS	mldsa44	mlkem512	c	87	912
PASS	mldsa44	mlkem512	c	88	896
PASS	mldsa44	mlkem512	c	89	894
PASS	mldsa44	mlkem512	c	90	885
PASS	mldsa44	mlkem512	c	91	900
PASS	mldsa44	mlkem512	c	92	909
PASS	mldsa44	mlkem512	c	93	914
PASS	mldsa44	mlkem512	c	94	923
PASS	mldsa44	mlkem512	c	95	894
PASS	mldsa44	mlkem512	c	96	896
PASS	mldsa44	mlkem512	c	97	918
PASS	mldsa44	mlkem512	c	98	896
PASS	mldsa44	mlkem512	c	99	920
PASS	mldsa44	mlkem512	c	100	896
PASS	mldsa44	mlkem768	c	1	906
PASS	mldsa44	mlkem768	c	2	913
PASS	mldsa44	mlkem768	c	3	902
PASS	mldsa44	mlkem768	c	4	914
PASS	mldsa44	mlkem768	c	5	890
PASS	mldsa44	mlkem768	c	6	900
PASS	mldsa44	mlkem768	c	7	899
PASS	mldsa44	mlkem768	c	8	898
PASS	mldsa44	mlkem768	c	9	887
PASS	mldsa44	mlkem768	c	10	903
PASS	mldsa44	mlkem768	c	11	918
PASS	mldsa44	mlkem768	c	12	914
PASS	mldsa44	mlkem768	c	13	914
PASS	mldsa44	mlkem768	c	14	886
PASS	mldsa44	mlkem768	c	15	904
PASS	mldsa44	mlkem768	c	16	889
PASS	mldsa44	mlkem768	c	17	900
PASS	mldsa44	mlkem768	c	18	906
PASS	mldsa44	mlkem768	c	19	914
PASS	mldsa44	mlkem768	c	20	911
PASS	mldsa44	mlkem768	c	21	932
PASS	mldsa44	mlkem768	c	22	894
PASS	mldsa44	mlkem768	c	23	920
PASS	mldsa44	mlkem768	c	24	914
PASS	mldsa44	mlkem768	c	25	904
PASS	mldsa44	mlkem768	c	26	921
PASS	mldsa44	mlkem768	c	27	894
PASS	mldsa44	mlkem768	c	28	910
PASS	mldsa44	mlkem768	c	29	882
PASS	mldsa44	mlkem768	c	30	921
PASS	mldsa44	mlkem768	c	31	895
PASS	mldsa44	mlkem768	c	32	925
PASS	mldsa44	mlkem768	c	33	909
PASS	mldsa44	mlkem768	c	34	929
PASS	mldsa44	mlkem768	c	35	913
PASS	mldsa44	mlkem768	c	36	906
PASS	mldsa44	mlkem768	c	37	907
PASS	mldsa44	mlkem768	c	38	905
PASS	mldsa44	mlkem768	c	39	911
PASS	mldsa44	mlkem768	c	40	897
PASS	mldsa44	mlkem768	c	41	892
PASS	mldsa44	mlkem768	c	42	921
PASS	mldsa44	mlkem768	c	43	890
PASS	mldsa44	mlkem768	c	44	916
PASS	mldsa44	mlkem768	c	45	914
PASS	mldsa44	mlkem768	c	46	903
PASS	mldsa44	mlkem768	c	47	913
PASS	mldsa44	mlkem768	c	48	901
PASS	mldsa44	mlkem768	c	49	901
PASS	mldsa44	mlkem768	c	50	920
PASS	mldsa44	mlkem768	c	51	894
PASS	mldsa44	mlkem768	c	52	912
PASS	mldsa44	mlkem768	c	53	908
PASS	mldsa44	mlkem768	c	54	919
PASS	mldsa44	mlkem768	c	55	928
PASS	mldsa44	mlkem768	c	56	897
PASS	mldsa44	mlkem768	c	57	891
PASS	mldsa44	mlkem768	c	58	909
PASS	mldsa44	mlkem768	c	59	887
PASS	mldsa44	mlkem768	c	60	904
PASS	mldsa44	mlkem768	c	61	881
PASS	mldsa44	mlkem768	c	62	921
PASS	mldsa44	mlkem768	c	63	889
PASS	mldsa44	mlkem768	c	64	896
PASS	mldsa44	mlkem768	c	65	907
PASS	mldsa44	mlkem768	c	66	905
PASS	mldsa44	mlkem768	c	67	896
PASS	mldsa44	mlkem768	c	68	913
PASS	mldsa44	mlkem768	c	69	883
PASS	mldsa44	mlkem768	c	70	912
PASS	mldsa44	mlkem768	c	71	901
PASS	mldsa44	mlkem768	c	72	921
PASS	mldsa44	mlkem768	c	73	914
PASS	mldsa44	mlkem768	c	74	895
PASS	mldsa44	mlkem768	c	75	916
PASS	mldsa44	mlkem768	c	76	926
PASS	mldsa44	mlkem768	c	77	897
PASS	mldsa44	mlkem768	c	78	913
PASS	mldsa44	mlkem768	c	79	902
PASS	mldsa44	mlkem768	c	80	879
PASS	mldsa44	mlkem768	c	81	895
PASS	mldsa44	mlkem768	c	82	923
PASS	mldsa44	mlkem768	c	83	913
PASS	mldsa44	mlkem768	c	84	886
PASS	mldsa44	mlkem768	c	85	931
PASS	mldsa44	mlkem768	c	86	885
PASS	mldsa44	mlkem768	c	87	905
PASS	mldsa44	mlkem768	c	88	899
PASS	mldsa44	mlkem768	c	89	921
PASS	mldsa44	mlkem768	c	90	903
PASS	mldsa44	mlkem768	c	91	902
PASS	mldsa44	mlkem768	c	92	911
PASS	mldsa44	mlkem768	c	93	891
PASS	mldsa44	mlkem768	c	94	900
PASS	mldsa44	mlkem768	c	95	892
PASS	mldsa44	mlkem768	c	96	885
PASS	mldsa44	mlkem768	c	97	919
PASS	mldsa44	mlkem768	c	98	904
PASS	mldsa44	mlkem768	c	99	885
PASS	mldsa44	mlkem768	c	100	880
PASS	mldsa44	mlkem1024	c	1	916
PASS	mldsa44	mlkem1024	c	2	903
PASS	mldsa44	mlkem1024	c	3	895
PASS	mldsa44	mlkem1024	c	4	915
PASS	mldsa44	mlkem1024	c	5	902
PASS	mldsa44	mlkem1024	c	6	914
PASS	mldsa44	mlkem1024	c	7	897
PASS	mldsa44	mlkem1024	c	8	909
PASS	mldsa44	mlkem1024	c	9	920
PASS	mldsa44	mlkem1024	c	10	887
PASS	mldsa44	mlkem1024	c	11	901
PASS	mldsa44	mlkem1024	c	12	903
PASS	mldsa44	mlkem1024	c	13	929
PASS	mldsa44	mlkem1024	c	14	902
PASS	mldsa44	mlkem1024	c	15	918
PASS	mldsa44	mlkem1024	c	16	909
PASS	mldsa44	mlkem1024	c	17	913
PASS	mldsa44	mlkem1024	c	18	921
PASS	mldsa44	mlkem1024	c	19	889
PASS	mldsa44	mlkem1024	c	20	894
PASS	mldsa44	mlkem1024	c	21	923
PASS	mldsa44	mlkem1024	c	22	903
PASS	mldsa44	mlkem1024	c	23	911
PASS	mldsa44	mlkem1024	c	24	901
PASS	mldsa44	mlkem1024	c	25	913
PASS	mldsa44	mlkem1024	c	26	896
PASS	mldsa44	mlkem1024	c	27	887
PASS	mldsa44	mlkem1024	c	28	921
PASS	mldsa44	mlkem1024	c	29	914
PASS	mldsa44	mlkem1024	c	30	903
PASS	mldsa44	mlkem1024	c	31	917
PASS	mldsa44	mlkem1024	c	32	921
PASS	mldsa44	mlkem1024	c	33	908
PASS	mldsa44	mlkem1024	c	34	917
PASS	mldsa44	mlkem1024	c	35	916
PASS	mldsa44	mlkem1024	c	36	912
PASS	mldsa44	mlkem1024	c	37	917
PASS	mldsa44	mlkem1024	c	38	904
PASS	mldsa44	mlkem1024	c	39	923
PASS	mldsa44	mlkem1024	c	40	890
PASS	mldsa44	mlkem1024	c	41	934
PASS	mldsa44	mlkem1024	c	42	904
PASS	mldsa44	mlkem1024	c	43	919
PASS	mldsa44	mlkem1024	c	44	898
PASS	mldsa44	mlkem1024	c	45	919
PASS	mldsa44	mlkem1024	c	46	907
PASS	mldsa44	mlkem1024	c	47	915
PASS	mldsa44	mlkem1024	c	48	907
PASS	mldsa44	mlkem1024	c	49	897
PASS	mldsa44	mlkem1024	c	50	897
PASS	mldsa44	mlkem1024	c	51	911
PASS	mldsa44	mlkem1024	c	52	881
PASS	mldsa44	mlkem1024	c	53	894
PASS	mldsa44	mlkem1024	c	54	897
PASS	mldsa44	mlkem1024	c	55	911
PASS	mldsa44	mlkem1024	c	56	954
PASS	mldsa44	mlkem1024	c	57	897
PASS	mldsa44	mlkem1024	c	58	904
PASS	mldsa44	mlkem1024	c	59	877
PASS	mldsa44	mlkem1024	c	60	904
PASS	mldsa44	mlkem1024	c	61	909
