group	repeat	passes	fails	average_ms	median_ms	stddev_ms	min_ms	max_ms
mlkem512	100	100	0	902.8	902.0	11.1	881	929
mlkem768	100	100	0	904.7	904.5	12.8	879	932
mlkem1024	100	100	0	907.4	906.0	13.6	877	954
ntruplus768	100	100	0	906.9	904.0	12.8	881	966
ntruplus864	100	100	0	908.2	906.0	31.4	882	1194
ntruplus1152	100	100	0	923.5	904.0	190.7	882	2808
