group	repeat	passes	fails	average_ms	median_ms	stddev_ms	min_ms	max_ms
mlkem512	100	100	0	2823.7	2820.0	34.8	2784	3127
mlkem768	100	100	0	2821.8	2822.0	17.4	2784	2877
mlkem1024	100	100	0	2822.6	2820.0	34.7	2784	3127
ntruplus768	100	100	0	2821.6	2822.0	16.4	2779	2864
ntruplus864	100	100	0	2827.0	2824.5	34.4	2788	3117
ntruplus1152	100	100	0	2822.0	2824.0	15.3	2791	2860
