group	repeat	passes	fails	average_ms	median_ms	stddev_ms	min_ms	max_ms
mlkem512	100	100	0	1808.7	1807.0	26.5	1756	1914
mlkem768	100	100	0	1808.5	1809.0	24.6	1760	1853
mlkem1024	100	100	0	1813.7	1809.5	40.9	1757	2132
ntruplus768	100	100	0	1873.4	1816.0	432.7	1758	6074
ntruplus864	100	100	0	1807.3	1808.0	24.8	1759	1858
ntruplus1152	100	100	0	1810.1	1810.0	25.3	1758	1904
